DEPTO_HECHO,MUNICIPIO_HECHO,MODALIDAD,CLASE_SITIO,ZONA,GENERO,PAIS_PERSONA,CARGO_PERSONA,Etapa,"FECHA_HECHO"
CUNDINAMARCA,BOGOTA_D.C.,ATRACO,PARQUES,URBANA,MASCULINO,NUEVA_ZELANDA,TURISTA_EXTRANJERO,Adultez,"02/14/2020 12:00:00"
CUNDINAMARCA,BOGOTA_D.C.,COSQUILLEO,VIAS_PUBLICAS,URBANA,FEMENINO,ESTADOS_UNIDOS,TURISTA_EXTRANJERO,Adultez,"02/25/2020 12:00:00"
CUNDINAMARCA,BOGOTA_D.C.,COSQUILLEO,VIAS_PUBLICAS,URBANA,MASCULINO,ALEMANIA,TURISTA_EXTRANJERO,Adultez,"2/03/2020 0:00"
CUNDINAMARCA,BOGOTA_D.C.,USO_SUSTANCIAS_TOXICAS/ESCOPOLAMINADO,VIAS_PUBLICAS,URBANA,MASCULINO,VENEZUELA,TURISTA_EXTRANJERO,Adultez,"02/19/2020 12:00:00"
CUNDINAMARCA,BOGOTA_D.C.,ATRACO,PLAYA,URBANA,MASCULINO,COLOMBIA,TURISTA_NACIONAL,Adultez,"01/31/2020 12:00:00"
CUNDINAMARCA,BOGOTA_D.C.,ATRACO,VIAS_PUBLICAS,URBANA,MASCULINO,COLOMBIA,TURISTA_NACIONAL,Adultez,"2/10/2020 0:00"
CUNDINAMARCA,BOGOTA_D.C.,FACTOR_DE_OPORTUNIDAD,HOTELES/RESIDENCIAS/SIMILARES,URBANA,MASCULINO,VENEZUELA,TURISTA_EXTRANJERO,Adultez,"3/03/2020 0:00"
CUNDINAMARCA,BOGOTA_D.C.,COSQUILLEO,DISCOTECAS,URBANA,MASCULINO,PAISES_BAJOS,TURISTA_EXTRANJERO,Adultez,"01/28/2020 12:00:00"
CUNDINAMARCA,BOGOTA_D.C.,COSQUILLEO,VIAS_PUBLICAS,URBANA,MASCULINO,PAISES_BAJOS,TURISTA_EXTRANJERO,Adultez,"01/28/2020 12:00:00"
CUNDINAMARCA,BOGOTA_D.C.,SUPL.DIJIN-SIJIN,VIAS_PUBLICAS,URBANA,FEMENINO,BRASIL,TURISTA_EXTRANJERO,Adultez,"01/24/2020 12:00:00"
CUNDINAMARCA,BOGOTA_D.C.,VIOLACION_DE_CERRADURA,DENTRO_DE_VIVIENDA,URBANA,MASCULINO,VENEZUELA,TURISTA_EXTRANJERO,Adultez,"01/15/2020 12:00:00"
CUNDINAMARCA,BOGOTA_D.C.,ATRACO,VIAS_PUBLICAS,URBANA,FEMENINO,VENEZUELA,TURISTA_EXTRANJERO,Adultez,"01/30/2020 12:00:00"
CUNDINAMARCA,BOGOTA_D.C.,TRANSACCIONES_ELECTRONICAS,INTERIOR_VEHICULO_PARTICULAR,RURAL,FEMENINO,COLOMBIA,TURISTA_NACIONAL,Adultez,"01/30/2020 12:00:00"
CUNDINAMARCA,BOGOTA_D.C.,ATRACO,VIAS_PUBLICAS,URBANA,FEMENINO,HOLANDA,TURISTA_EXTRANJERO,Adultez,"02/27/2020 12:00:00"
CUNDINAMARCA,BOGOTA_D.C.,ATRACO,INTERIOR_VEHICULO_PARTICULAR,RURAL,MASCULINO,ESTADOS_UNIDOS,TURISTA_EXTRANJERO,Adultez,"02/28/2020 12:00:00"
CUNDINAMARCA,BOGOTA_D.C.,ATRACO,VIAS_PUBLICAS,URBANA,FEMENINO,MEXICO,TURISTA_NACIONAL,Adultez,"01/23/2020 12:00:00"
CUNDINAMARCA,BOGOTA_D.C.,COSQUILLEO,VIAS_PUBLICAS,URBANA,FEMENINO,HOLANDA,TURISTA_EXTRANJERO,Adultez,"1/10/2020 0:00"
CUNDINAMARCA,BOGOTA_D.C.,LLAVE_MAESTRA,APARTAMENTO,URBANA,MASCULINO,FRANCIA,TURISTA_EXTRANJERO,Adultez,"1/11/2020 0:00"
CUNDINAMARCA,BOGOTA_D.C.,ATRACO,VIAS_PUBLICAS,URBANA,MASCULINO,VENEZUELA,TURISTA_EXTRANJERO,Adultez,"02/15/2020 12:00:00"
CUNDINAMARCA,BOGOTA_D.C.,FACTOR_DE_OPORTUNIDAD,TEATROS,URBANA,MASCULINO,VENEZUELA,TURISTA_EXTRANJERO,Adultez,"2/03/2020 0:00"
CUNDINAMARCA,BOGOTA_D.C.,ATRACO,PARQUES,URBANA,MASCULINO,ESTADOS_UNIDOS,TURISTA_EXTRANJERO,Adultez,"01/13/2020 12:00:00"
CUNDINAMARCA,BOGOTA_D.C.,ATRACO,TRAMO DE VIA,RURAL,MASCULINO,RUSIA,TURISTA_EXTRANJERO,Adultez,"02/26/2020 12:00:00"
CUNDINAMARCA,BOGOTA_D.C.,ATRACO,VIAS_PUBLICAS,URBANA,MASCULINO,VENEZUELA,TURISTA_EXTRANJERO,Adultez,"02/26/2020 12:00:00"
CUNDINAMARCA,BOGOTA_D.C.,ATRACO,VIAS_PUBLICAS,URBANA,MASCULINO,AUSTRALIA,TURISTA_EXTRANJERO,Adultez,"1/12/2020 0:00"
CUNDINAMARCA,BOGOTA_D.C.,ATRACO,VIAS_PUBLICAS,URBANA,FEMENINO,FRANCIA,TURISTA_EXTRANJERO,Adultez,"01/29/2020 12:00:00"
CUNDINAMARCA,BOGOTA_D.C.,USO_SUSTANCIAS_TOXICAS/ESCOPOLAMINADO,APARTAMENTO,URBANA,MASCULINO,REINO UNIDO,TURISTA_EXTRANJERO,Adultez,"2/09/2020 0:00"
